Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
Cldn7,ENSMUSG00000018569,6,1,Large Intestine,intestinal crypt stem cell
Clec14a,ENSMUSG00000045930,8,1,Lung,smooth muscle cell of the pulmonary artery
Clec4a3,ENSMUSG00000043832,8,1,Kidney,kidney cell
Clec4f,ENSMUSG00000014542,8,1,Liver,Kupffer cell
Cndp2,ENSMUSG00000024644,8,1,Kidney,epithelial cell of proximal tubule
Cnfn,ENSMUSG00000063651,1,1,Tongue,keratinocyte
Cnn1,ENSMUSG00000001349,8,1,Mammary Gland;Heart,basal cell;smooth muscle cell
Coch,ENSMUSG00000020953,8,1,Lymph Node,oxazolone-induced lymphatic endothelial subset 1
Col17a1,ENSMUSG00000025064,8,1,Skin of Body,stem cell of epidermis
Col2a1,ENSMUSG00000022483,8,1,Trachea,mesenchymal cell
Col8a1,ENSMUSG00000068196,8,1,Kidney;Trachea,fibroblast;fibroblast
Colec11,ENSMUSG00000036655,8,1,Liver,hepatic stellate cell
Comp,ENSMUSG00000031849,8,1,Heart,endocardial cell
Cox8b,ENSMUSG00000025488,2,1,Heart;Limb Muscle,cardiac muscle cell;endothelial cell
Cp,ENSMUSG00000003617,8,1,Pancreas,pancreatic ductal cell
Cpa3,ENSMUSG00000001865,8,1,Bone Marrow,naive B cell
Cplx2,ENSMUSG00000025867,8,1,Trachea,neuroendocrine cell
Crct1,ENSMUSG00000027913,5,1,Tongue,Langerhans cell
Cryab,ENSMUSG00000032060,7,1,Kidney,podocyte (sensu Diptera)
Csf3r,ENSMUSG00000028859,8,1,Lung,neutrophil
Cstdc4,ENSMUSG00000079597,5,1,Heart;Skin of Body,mast cell;basal cell of epidermis
Ctla2a,ENSMUSG00000044258,8,1,Bone Marrow;Lung;Skin of Body;Limb Muscle,hematopoietic precursor cell;T cell;T cell;T cell
Ctla4,ENSMUSG00000026011,8,1,Lung,regulatory T cell
Ctse,ENSMUSG00000004552,8,1,Bone Marrow;Adipose Tissue;Spleen;Large Intestine,erythroblast;erythroblast;erythroblast;large intestine goblet cell
Ctsg,ENSMUSG00000040314,8,1,Kidney;Adipose Tissue,lymphocyte;lymphocyte
Ctss,ENSMUSG00000038642,8,1,Lymph Node;Liver,transition zone lymphatic endothelial cell;myeloid leukocyte
Cubn,ENSMUSG00000026726,8,1,Kidney,brush cell
