Gene,Ensembl ID,Probe sets,Codewords,Tissues,Cell types
Serpina3n,ENSMUSG00000021091,8,1,Heart,fibroblast of cardiac tissue
Serpinb11,ENSMUSG00000026327,8,1,Skin of Body,keratinocyte stem cell
Serpinb5,ENSMUSG00000067006,8,1,Tongue;Skin of Body,basal cell of epidermis;basal cell of epidermis
Serpinf1,ENSMUSG00000000753,8,1,Limb Muscle;Trachea,mesenchymal stem cell;mesenchymal stem cell
Sez6l,ENSMUSG00000058153,8,1,Pancreas,type B pancreatic cell
Sfrp1,ENSMUSG00000031548,8,1,Kidney;Brain,kidney collecting duct epithelial cell;GABAergic neuron
Sfta2,ENSMUSG00000090509,4,1,Lung,type II pneumocyte
Sftpd,ENSMUSG00000021795,8,1,Lung,club cell
Slc10a1,ENSMUSG00000021135,8,1,Liver,hepatocyte
Slc14a1,ENSMUSG00000059336,8,1,Liver,duct epithelial cell
Slc14a2,ENSMUSG00000024552,8,1,Kidney;Brain,podocyte (sensu Diptera);astrocyte
Slc17a7,ENSMUSG00000070570,8,1,Brain,glutamatergic neuron
Slc22a6,ENSMUSG00000024650,8,1,Kidney;Brain,epithelial cell of proximal tubule;astrocyte
Slc22a8,ENSMUSG00000063796,8,1,Kidney,kidney proximal straight tubule epithelial cell
Slc25a37,ENSMUSG00000034248,8,1,Bone Marrow,immature B cell
Slc25a47,ENSMUSG00000048856,8,1,Liver,hepatocyte
Slc27a2,ENSMUSG00000027359,8,1,Kidney,brush cell
Slc34a2,ENSMUSG00000029188,8,1,Lung,type II pneumocyte
Slc4a1,ENSMUSG00000006574,8,1,Bone Marrow,immature B cell
Slc4a4,ENSMUSG00000060961,8,1,Kidney,kidney proximal convoluted tubule epithelial cell
Slc5a1,ENSMUSG00000011034,8,1,Kidney,kidney loop of Henle ascending limb epithelial cell
Snap25,ENSMUSG00000027273,8,1,Lung;Brain,lung neuroendocrine cell;glutamatergic neuron
Sod3,ENSMUSG00000072941,8,1,Lung;Skin of Body,fibroblast of lung;fibroblast
Sostdc1,ENSMUSG00000036169,8,1,Kidney,kidney loop of Henle thick ascending limb epithelial cell
Sox17,ENSMUSG00000025902,8,1,Kidney;Lung,kidney cortex artery cell;vein endothelial cell
Sox2,ENSMUSG00000074637,8,1,Brain,neural stem cell
Sox9,ENSMUSG00000000567,8,1,Mammary Gland,luminal epithelial cell of mammary gland
Stfa2l1,ENSMUSG00000059657,4,1,Heart;Skin of Body,mast cell;basal cell of epidermis
Stmn1,ENSMUSG00000028832,8,1,Spleen,immature NK T cell
Sypl2,ENSMUSG00000027887,8,1,Limb Muscle,cell of skeletal muscle
Tagln,ENSMUSG00000032085,4,1,Trachea,smooth muscle cell of trachea
Tat,ENSMUSG00000001670,8,1,Liver,hepatocyte
Tbx1,ENSMUSG00000009097,6,1,Skin of Body,keratinocyte stem cell
Tcf15,ENSMUSG00000068079,2,1,Heart,endothelial cell of coronary artery
Tfcp2l1,ENSMUSG00000026380,8,1,Kidney,kidney collecting duct principal cell
Tff2,ENSMUSG00000024028,5,1,Pancreas,pancreatic acinar cell
Thbs4,ENSMUSG00000021702,8,1,Limb Muscle;Trachea,mesenchymal stem cell;mesenchymal stem cell
Them5,ENSMUSG00000028148,8,1,Tongue;Skin of Body,basal cell of epidermis;basal cell of epidermis
Tie1,ENSMUSG00000033191,8,1,Kidney,fenestrated cell
Timp3,ENSMUSG00000020044,8,1,Kidney;Lung;Adipose Tissue,kidney cortex artery cell;adventitial cell;mesenchymal stem cell of adipose tissue
Timp4,ENSMUSG00000030317,8,1,Heart,endothelial cell of coronary artery
Tm4sf20,ENSMUSG00000026149,8,1,Large Intestine,enterocyte of epithelium of large intestine
Tm4sf4,ENSMUSG00000027801,8,1,Pancreas,pancreatic ductal cell
Tmem100,ENSMUSG00000069763,8,1,Lung;Limb Muscle,bronchial smooth muscle cell;smooth muscle cell
Tmem147,ENSMUSG00000006315,4,1,Kidney,kidney distal convoluted tubule epithelial cell
Tmem212,ENSMUSG00000043164,8,1,Lung,ciliated columnar cell of tracheobronchial tree
Tmem213,ENSMUSG00000029829,3,1,Lung,type II pneumocyte
Tmem59l,ENSMUSG00000035964,8,1,Pancreas,pancreatic PP cell
Tnfaip6,ENSMUSG00000053475,8,1,Mammary Gland,stromal cell
Tnnc1,ENSMUSG00000091898,5,1,Heart;Limb Muscle,cardiac muscle cell;cell of skeletal muscle
Trdn,ENSMUSG00000019787,8,1,Heart,cardiac muscle cell
Trim29,ENSMUSG00000032013,8,1,Skin of Body,keratinocyte stem cell
Try10,ENSMUSG00000071521,8,1,Pancreas,pancreatic acinar cell
Tspan8,ENSMUSG00000034127,8,1,Kidney;Lung,kidney cortex artery cell;vein endothelial cell
Ttc36,ENSMUSG00000039438,1,1,Kidney,epithelial cell of proximal tubule
Ttn,ENSMUSG00000051747,8,1,Heart,cardiac muscle cell
Tubb3,ENSMUSG00000062380,8,1,Brain,sensory ganglia
Ube2c,ENSMUSG00000001403,8,1,Bone Marrow;Large Intestine,granulocytopoietic cell;hematopoietic stem cell large
Ucma,ENSMUSG00000026668,8,1,Trachea,chondrocyte
Uox,ENSMUSG00000028186,8,1,Liver,hepatocyte
Upk1a,ENSMUSG00000006313,6,1,Liver,duct epithelial cell
Upk1b,ENSMUSG00000049436,8,1,Liver;Skin of Body,duct epithelial cell;keratinocyte stem cell
Upk3a,ENSMUSG00000022435,7,1,Liver;Skin of Body,duct epithelial cell;keratinocyte stem cell
Upk3b,ENSMUSG00000042985,8,1,Pancreas,pancreatic stellate cell
Vsnl1,ENSMUSG00000054459,8,1,Lung,pericyte
Vsx2,ENSMUSG00000021239,8,1,Eye,lens of eye
Vwf,ENSMUSG00000001930,8,1,Lung,smooth muscle cell of the pulmonary artery
Wif1,ENSMUSG00000020218,8,1,Kidney;Trachea,fibroblast;fibroblast
Wnt3,ENSMUSG00000000125,8,1,Skin of Body,stem cell of epidermis
